epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-29,466,RJ,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,False
202126,2021-06-29,460,RJ,Itaboraí,3301900,city,10624,4380.25422,54,733,4,0.069,242543,False,False
202126,2021-06-29,454,RJ,Itaguaí,3302007,city,5143,3814.74421,5,350,2,0.0681,134819,False,False
202126,2021-06-29,429,RJ,Italva,3302056,city,533,3483.88784,2,23,0,0.0432,15299,False,False
202126,2021-06-29,425,RJ,Itaocara,3302106,city,2367,10192.92051,6,75,1,0.0317,23222,False,False
202126,2021-06-29,451,RJ,Itaperuna,3302205,city,7010,6753.37187,28,196,0,0.028,103800,False,False
202126,2021-06-29,446,RJ,Itatiaia,3302254,city,1879,5860.15469,11,66,0,0.0351,32064,False,False
202126,2021-06-29,449,RJ,Japeri,3302270,city,1048,992.91318,0,82,0,0.0782,105548,False,False
202126,2021-06-29,415,RJ,Laje do Muriaé,3302304,city,512,6988.80699,0,10,0,0.0195,7326,False,False
202126,2021-06-29,456,RJ,Macaé,3302403,city,25760,9850.82275,86,690,4,0.0268,261501,False,False
202126,2021-06-29,433,RJ,Macuco,3302452,city,993,17659.61231,1,10,0,0.0101,5623,False,False
202126,2021-06-29,454,RJ,Magé,3302502,city,11910,4832.95663,35,539,0,0.0453,246433,False,False
202126,2021-06-29,459,RJ,Mangaratiba,3302601,city,2768,6121.18532,26,132,1,0.0477,45220,False,False
202126,2021-06-29,458,RJ,Maricá,3302700,city,9077,5517.79896,5,490,4,0.054,164504,False,False
202126,2021-06-29,441,RJ,Mendes,3302809,city,1912,10253.11025,7,56,0,0.0293,18648,False,False
202126,2021-06-29,454,RJ,Mesquita,3302858,city,3408,1930.12363,29,403,0,0.1183,176569,False,False
202126,2021-06-29,468,RJ,Miguel Pereira,3302908,city,2528,9882.33455,8,72,0,0.0285,25581,False,False
202126,2021-06-29,426,RJ,Miracema,3303005,city,2646,9744.42071,6,86,4,0.0325,27154,False,False
202126,2021-06-29,418,RJ,Natividade,3303104,city,1075,7021.09594,1,19,0,0.0177,15311,False,False
202126,2021-06-29,453,RJ,Nilópolis,3303203,city,3558,2186.94105,17,451,0,0.1268,162693,False,False
202126,2021-06-29,475,RJ,Niterói,3303302,city,39840,7731.16354,120,1868,0,0.0469,515317,False,False
202126,2021-06-29,452,RJ,Nova Friburgo,3303401,city,20243,10589.66928,117,677,2,0.0334,191158,False,False
202126,2021-06-29,459,RJ,Nova Iguaçu,3303500,city,18523,2249.84271,88,1656,2,0.0894,823302,False,False
202126,2021-06-29,446,RJ,Paracambi,3303609,city,2443,4637.16949,0,118,0,0.0483,52683,False,False
202126,2021-06-29,452,RJ,Paraíba do Sul,3303708,city,4696,10548.54216,6,145,0,0.0309,44518,False,False
202126,2021-06-29,447,RJ,Paraty,3303807,city,2627,6014.19414,7,73,2,0.0278,43680,False,False
202126,2021-06-29,447,RJ,Paty do Alferes,3303856,city,2628,9433.55589,2,95,0,0.0361,27858,False,False
202126,2021-06-29,466,RJ,Petrópolis,3303906,city,13106,4273.53772,49,1263,0,0.0964,306678,False,False
202126,2021-06-29,438,RJ,Pinheiral,3303955,city,2877,11342.84813,4,70,0,0.0243,25364,False,False
202126,2021-06-29,444,RJ,Piraí,3304003,city,3922,13274.66576,30,74,0,0.0189,29545,False,False
202126,2021-06-29,453,RJ,Porciúncula,3304102,city,2128,11223.62869,7,68,0,0.032,18960,False,False
202126,2021-06-29,449,RJ,Porto Real,3304110,city,1802,9021.72825,17,34,0,0.0189,19974,False,False
202126,2021-06-29,449,RJ,Quatis,3304128,city,861,5964.66921,2,27,0,0.0314,14435,False,False
202126,2021-06-29,457,RJ,Queimados,3304144,city,5781,3820.00198,5,174,0,0.0301,151335,False,False
202126,2021-06-29,441,RJ,Quissamã,3304151,city,2875,11442.33065,13,73,0,0.0254,25126,False,False
202126,2021-06-29,462,RJ,Resende,3304201,city,13780,10414.77719,52,460,0,0.0334,132312,False,False
202126,2021-06-29,457,RJ,Rio Bonito,3304300,city,5799,9573.57238,47,199,2,0.0343,60573,False,False
202126,2021-06-29,410,RJ,Rio Claro,3304409,city,1488,7997.85004,1,57,0,0.0383,18605,False,False
202126,2021-06-29,448,RJ,Rio das Flores,3304508,city,174,1862.15753,0,14,0,0.0805,9344,False,False
202126,2021-06-29,458,RJ,Rio das Ostras,3304524,city,12278,7911.4393,38,442,1,0.036,155193,False,False
202126,2021-06-29,481,RJ,Rio de Janeiro,3304557,city,367347,5443.94,1420,28506,88,0.0776,6747815,False,False
202126,2021-06-29,430,RJ,Santa Maria Madalena,3304607,city,241,2319.09161,1,10,0,0.0415,10392,False,False
